# word	role
# Built from Princeton WordNet (dictionary + thesaurus).
# roles: who verb what where when how adj link
# Generation (TTS templates) uses core embedded words; this file expands recognition + teaching.
fuchs	who
fulah	who
fulbe	who
gabor	who
gadfly	who
gael	who
gaius	who
galen	who
gamin	who
gamow	who
ganef	who
gangster	who
ganof	who
garbo	who
gardener	who
gates	who
gaudi	who
geek	who
gentleman	who
ghoul	who
gibbs	who
gide	who
ginzo	who
gipsy	who
girl	who
gish	who
git	who
giver	who
glenn	who
gluck	who
godel	who
goer	who
gofer	who
gogh	who
gogol	who
golfer	who
golgi	who
gond	who
goner	who
gonif	who
gonne	who
gook	who
goon	who
goth	who
goudy	who
gould	who
gourmet	who
governor	who
goy	who
goya	who
gp	who
grad	who
graf	who
gran	who
grandma	who
grandmother	who
granny	who
greco	who
grieg	who
grimm	who
griot	who
gris	who
grocer	who
groom	who
grower	who
grownup	who
grump	who
guard	who
guardian	who
guest	who
gunman	who
gunner	who
guru	who
guy	who
gwynn	who
gymnast	who
gynne	who
gywn	who
haber	who
hack	who
hacker	who
hadji	who
hahn	who
haji	who
hajji	who
hakham	who
hakim	who
haley	who
halfback	who
hals	who
haman	who
hanks	who
harpo	who
harte	who
hasek	who
hasid	who
hater	who
havel	who
hawker	who
hayek	who
hayes	who
hazan	who
he	who
healer	who
hearer	who
hecht	who
hegel	who
heinz	who
heir	who
helot	who
helper	who
henry	who
herald	who
hero	who
herod	who
hertz	who
hess	who
hesse	who
hewer	who
heyse	who
hiker	who
him	who
hippy	who
hirer	who
historian	who
hitler	who
hitter	who
hobbs	who
hobo	who
hoffa	who
holly	who
honky	who
hood	who
hooke	who
hoper	who
horne	who
horseman	who
horta	who
host	who
hostess	who
housewife	who
howe	who
hoyle	who
hrolf	who
hubby	who
hubel	who
hugo	who
hume	who
hun	who
hunter	who
hurler	who
hurok	who
hus	who
husband	who
huss	who
hussy	who
hutu	who
hymie	who
i	who
ianfu	who
ibert	who
ibsen	who
idiot	who
idler	who
igbo	who
ike	who
imam	who
imaum	who
immigrant	who
indian	who
individual	who
infant	who
inge	who
inger	who
injun	who
inmate	who
inspector	who
instructor	who
inuit	who
invader	who
investigator	who
investor	who
iowan	who
irani	who
isaac	who
it	who
ives	who
jackass	who
jacob	who
jafar	who
janitor	who
jap	who
jat	who
jawan	who
jerry	who
jesuit	who
jesus	who
jew	who
jeweler	who
jfk	who
jimdandy	who
jingo	who
jnr	who
jockey	who
johnny	who
johns	who
joker	who
jones	who
jong	who
joule	who
joyce	who
jung	who
junky	who
jurist	who
juror	who
jute	who
kafir	who
kafka	who
kahn	who
kalif	who
kant	who
kean	who
