# word	synonyms (comma-separated)
acyl	acyl-group
acyl-group	acyl
ad	advert,advertisement,advertising,advertizement,advertizing
ada	adenosine-deaminase
adage	byword,proverb,saw
adalia	genus-adalia
adam	xtc
adamant	adamantine,inexorable,intransigent
adamantine	adamant
adams	mount-adams
adana	seyhan
adapid	adapid-group
adapid-group	adapid
adapin	doxepin,doxepin-hydrochloride,sinequan
adapt	accommodate
adapted	altered
add	adhd,contribute,mbd
add-on	append
addax	addax-nasomaculatus
addax-nasomaculatus	addax
adder	common-viper,vipera-berus
addict	junky
additive	linear
addled	befuddled,muddled,muzzy,woolly,woolly-headed,wooly,wooly-minded
address	accost,computer-address,deal,reference,speech
ade	fruit-drink
adelie	adelie-penguin,pygoscelis-adeliae
adelie-penguin	adelie
aden-abyan-islamic-army	iaa
adenoidal	nasal
adenosine-deaminase	ada
adenosine-triphosphate	atp
adenota-vardoni	puku
adept	expert,good,maven,mavin,practiced,proficient,skilful,skillful,whizz,wiz,wizard
adequacy	adequateness
adequate	enough,equal
adequateness	adequacy
adh	antidiuretic-hormone,pitressin,vasopressin
adhd	add,hyperkinetic-syndrome,mbd,minimal-brain-damage
adhere	bind,cling,cohere
adherent	disciple
adhesive	adhesive-agent,adhesive-material
adhesive-agent	adhesive
adhesive-material	adhesive
adi-granth	granth
adieu	adios,arrivederci,au-revoir,auf-wiedersehen,bye,bye-bye,cheerio,good-by,goodby
adige	river-adige
adios	adieu,arrivederci,au-revoir,auf-wiedersehen,bye,bye-bye,cheerio,good-by,goodby
adjacent	next,side-by-side
adjoin	abut,border,butt,butt-against,butt-on,edge,march
adjourn	break-up,recess
adjudicate	resolve
adjure	beseech
adjust	align,aline,correct,set
adjustment	accommodation,fitting
adjutant	aide
adman	advertiser,advertizer
administer	administrate,dispense,distribute
administrate	administer
administration	disposal
admiral-byrd	byrd
admiration	esteem
admire	look-up-to
admission	admittance
admit	acknowledge
admittance	admission
admixture	alloy,mixing
admonish	caution
adnexa	annexa
ado	bustle,flurry,fuss,hustle,stir
adobe	adobe-brick
adobe-brick	adobe
adobe-house	soddy
adolescent	teen,teenage,teenager
adolf-hitler	hitler
adolf-loos	loos
adolph-simon-ochs	ochs
adopt	espouse,follow
adopted	adoptive
adoption	acceptance,acceptation,espousal
adoptive	adopted
adoration	latria
adored	idolised,idolized,worshipped
adoring	doting
adorn	beautify,decorate,embellish,grace,ornament
adp-system	adps
adps	adp-system,computer-system,computing-system
adrenocorticotrophin	acth
adrenocorticotropin	acth
adrift	afloat,aimless
adult	grown,grownup
adult-female	woman
adult-male	man
adult-onset-diabetes	niddm
adulteress	hussy,slut
adulthood	maturity
adumbrate	outline
adust	parched
advance	elevate,encourage,progress,progression,promote
advancement	progress
advantage	vantage
advent	coming
adventitia	tunica
adventure	dangerous-undertaking,escapade,gamble,risky-venture
adventurer	explorer
adversary	antagonist
adverse	inauspicious,untoward
advert	ad,advertising,cite,mention,refer
advertise	advertize,publicise,publicize
advertisement	ad,advertising
advertiser	adman
advertising	ad,advert,advertisement,advertizement,advertizing
advertize	advertise
advertizement	ad,advertising
advertizer	adman
advertizing	ad,advertising
advil	ibuprofen,motrin,nuprin
advise	counsel,notify,propose,rede,suggest
advisedly	deliberately
advocate	counsel,recommend,urge
adz	adze
adze	adz
aedes	genus-aedes
aegean	aegean-sea
aegean-sea	aegean
aegir	bore,eager,eagre,tidal-bore
aegis	auspices,egis,protection
aeolic	eolic
aeolic-dialect	eolic
aeon	eon
aeonian	eonian,eternal
aepyceros-melampus	impala
aerial	aery,antenna,ethereal,forward-pass
aerie	aery,eyrie,eyry
aeriform	aery,ethereal
aerobic	aerophilic,aerophilous
aerodrome	airport,drome
aeroembolism	bends
aerophilic	aerobic
aerophilous	aerobic
aeroplane	airplane,plane
aery	aerial,aerie,aeriform,airy,ethereal,eyrie,eyry
aesthesis	sensation
aesthetic	esthetic
aesthetical	esthetic
aether	ether
afeard	afeared
afeared	afeard
affable	amiable,cordial,genial
affably	amiably,genially
affair	amour,matter,thing
affaire	amour
affairs	personal-business,personal-matters
affect	bear-on,bear-upon,feign,impact,impress,involve,pretend,touch,touch-on
affected	moved
affecting	poignant,touching
