# word	synonyms (comma-separated)
cogent-evidence	proof
coggle	wobble
cogitate	think
cognate	connate,kin,sib
cognisance	awareness
cognisant	aware
cognition	knowledge,noesis
cognizance	awareness,ken
cognizant	aware
cognomen	byname
cohan	george-m,george-michael-cohan
cohere	adhere,cleave,cling,stick
coherence	cohesion
coherency	cohesion
coherent	consistent,logical,ordered
cohesion	coherence,coherency,cohesiveness
cohesiveness	cohesion
cohn	ferdinand-julius-cohn
coho	blue-jack,coho-salmon,cohoe,oncorhynchus-kisutch,silver-salmon
coho-salmon	coho,cohoe
cohoe	blue-jack,coho,coho-salmon,oncorhynchus-kisutch,silver-salmon
coif	hairdo
coiffure	hairdo
coign	coigne,quoin
coigne	coign,quoin
coil	gyrate,gyre,spiral,whorl
coiling	volute
coincide	co-occur,cooccur
coincidence	happenstance
coital	copulatory
coition	coitus
coitus	coition,congress,copulation,intercourse,sex-act,sexual-congress,sexual-intercourse,sexual-relation
coke	blow,c,nose-candy,snow
col	gap
cola	dope
cold	dusty,frigid
coldly	in-cold-blood
cole	kail,kale
coleslaw	slaw
colic	gripes,griping,intestinal-colic
colicky	gassy
collaborate	cooperate,get-together,join-forces
collaborator	pardner
collage	montage
collapse	break,cave-in,crumble,fall-in,founder,give,give-way
collapsible-shelter	tent
collar	arrest,nab,neckband
collation	snack
colleague	co-worker,fellow-worker,workfellow
collect	accumulate,amass,cod,compile,gather,hoard,pile-up,roll-up
collectable	payable
collectible	payable
collection	accumulation,aggregation,assemblage
collective	corporate
collector	aggregator
colligate	associate,link,relate
collision	hit
colly	begrime,bemire,dirty,grime,soil
colocasia-esculenta	dalo
cologne	koln
colonist	settler
colonnade	arcade
colony	settlement
color	coloring,colour,colouring,gloss
colorado	co
colored	biased,colorful,coloured,dyed
colorful	colored,colourful
coloring	color
colors	colours
colossal	prodigious,stupendous
colour	color,gloss
coloured	biased,colored,dyed
colourful	colorful
colouring	color
colours	colors
colter	coulter
coltsfoot	galax
colugo	flying-cat,flying-lemur
columba-palumbus	cushat
columbus	capital-of-ohio
column	editorial
colza	brassica-napus,rape
coma	comatoseness
comal	comate,comose
comate	comal,comose
comatoseness	coma
comb	ransack
comb-plate	ctene
combat	armed-combat,fighting
combat-boot	buskin
combatant	fighter
combine	unite
combining-weight	eq
combo	jazz-band,jazz-group
combtooth-blenny	blenny
combustion	burning
come	arrive,cum,semen
come-about	happen,occur,take-place
come-across	encounter,meet
come-alive	awaken,waken
come-back	retort
come-down	descend
come-in	enter,get-in,get-into,go-in,go-into,move-into
come-near	approach
come-on	approach,bait,come-out
come-out	come-on,show-up,surface,turn-up
come-through	succeed
come-to	concern,pertain
come-up	muster,rise
come-up-to	accost
come-with	accompany
comedian	comic
comedo	blackhead
comely	bonnie,bonny,fair,seemly,sightly
comestible	eatable,edible
comfort	ease,quilt
comfort-woman	ianfu
comfortable	comfy
comforter	quilt
comforts	amenities,conveniences,creature-comforts
comfy	comfortable
comic	amusing,comedian,comical,funny,laughable,mirthful,risible
comical	comic,funny
coming	advent,approaching,forthcoming,orgasm,upcoming
coming-together	merging
comma	comma-butterfly,polygonia-comma
comma-butterfly	comma
command	bid,bidding,control,dictation,mastery
command-line-interface	cli
command-post	ghq
commandant	commander
commandeer	hijack
commander	commandant,commanding-officer
commanding-officer	commander
comme-il-faut	seemly
commence	begin,get,get-down,set-about,set-out,start,start-out
commencement	outset
commendation	citation
comment	commentary,input,point-out,remark
commentary	comment
commerce	commercialism,doc,mercantilism
commerce-department	doc
commercialism	commerce
commie	communist
commingle	fuse,immix,mix
commiseration	pity
commission	committee
commissioned	licensed
commit	consecrate,dedicate,devote,entrust,give,invest
committee	commission
commix	mingle
commixture	mixing
commodity	good,trade-good
common	coarse,mutual,vulgar
common-chord	triad
common-coral-tree	ceibo
common-era	ce
common-hop	bine
common-hops	bine
common-iguana	iguana
common-ivy	ivy
common-market	ec,eec,eu
common-nardoo	nardo
common-people	folk
common-viper	adder
commonly	normally,ordinarily,unremarkably,usually
commonness	raunch
commonplace	banal,cliche,trite
commonwealth	country,nation,republic
commotion	disruption,disturbance,flutter,hoo-ha,hoo-hah,hurly-burly,kerfuffle,ruckus,rumpus,to-do
communicate	pass,pass-along,pass-on,put-across,transmit
communicating	communication
communication	communicating
communion	holy-communion,manduction,sacramental-manduction
communist	commie,communistic
communist-china	china,prc
communistic	communist
commute	transpose
commuter	commuter-train
commuter-train	commuter
comose	comal,comate
comp	comprehensive
compact	compress,stocky,wad
companion	associate,comrade,familiar,fellow
company	caller,troupe
comparative	relative
comparatively	relatively
compare	equate,liken
comparing	comparison
comparison	comparing
compartmentalisation	classification
compartmentalization	classification
compass	ambit,comprehend,grok,range,savvy,scope
compel	obligate,oblige
compensable	paying
compensate	correct,counterbalance,even-off,even-out,even-up,make-up
compete	contend,vie
competence	competency
competency	competence
competently	ably,aptly
competition	competitor,contest
competitive	competitory
competitor	challenger,competition,contender,rival
competitory	competitive
compile	collect,compose
complain	kick,kvetch,plain,quetch,sound-off
complaint	ailment
complementary-dna	cdna
complete	arrant,ended,finish
complete-blood-count	cbc
completed	accomplished,realised,realized
completely	all,altogether,entirely,totally,whole,wholly
complex	composite
complexity	complexness
complexness	complexity
complicate	perplex
complimentary	gratis
complot	conspire
comply	abide-by,follow
component	constituent,element,factor,ingredient,part,portion
component-part	part,portion
comportment	bearing,mien
compose	compile
composite	complex
composition	opus,writing
composure	calm,calmness,equanimity
compound	deepen,heighten,intensify
comprehend	apprehend,compass,dig,embrace,encompass,get-the-picture,grasp,grok,perceive,savvy
comprehensive	comp
compress	compact,pack-together
comprise	consist,constitute,contain
compromise	via-media
compulsiveness	compulsivity
compulsivity	compulsiveness
compulsory	mandatory
computation	calculation
compute	calculate,cipher,cypher,figure,reckon,work-out
computed-tomography	ct
computer	computing-device,computing-machine,data-processor,electronic-computer
computer-address	address
computer-aided-design	cad
computer-keyboard	keypad
computer-programmer	coder
computer-system	adps
computerized-tomography	ct
computing	calculation
computing-device	computer
computing-machine	computer
computing-system	adps
comrade	associate,companion,familiar,fellow
comte	auguste-comte
con	bunco,bunko,gyp,memorize
con-game	bunco,bunko,gyp
concatenation	chain
conceal	hide
concealed	hidden
concealing	hiding
concealment	hiding
concede	confess,profess
conceit	vanity
conceited	vain
conceive	conceptualise,conceptualize,gestate
conceive-of	imagine
concentrate	rivet
concept	conception,construct
conception	concept,construct
conceptualise	conceive
conceptualize	conceive
conceptus	embryo
concern	bear-on,business,come-to,have-to-doe-with,headache,pertain,refer,relate,touch,touch-on
concert-dance	ballet
concerted	cooperative
conciliate	appease,pacify
conclude	reason,reason-out
concluded	ended
concluding	final
conclusion	decision,determination
concomitant	consequent,resultant
concord	accord,agree,concur
concourse	throng
concubine	doxy
concupiscence	eros
concur	agree,concord,hold
condemn	decry,excoriate,objurgate,reprobate
condescend	deign
condition	specify,status,stipulate
conditioned-emotion	cer
conditions	weather
condo	condominium
condom	prophylactic,rubber,safe,safety
condominium	condo
conduct	behavior,carry-on,deal,demeanor,doings,lead
conductor	director,music-director
cone-shaped	conic
conelike	conic
coney	cony,das,dassie,hyrax,pika,rabbit
confab	chat,confer
confabulate	chat,confer
confect	candy
confer	bestow,confab,confabulate,consult
confer-with	consult
conference	league
conferrer	donor
confess	concede,fink,squeal
confide	entrust
confidence	assurance,authority,self-assurance,self-confidence,sureness
confidence-game	bunco,bunko,gyp
confidence-trick	bunco,bunko,gyp
configuration	shape
confine	bound,detain,limit,restrain,restrict,throttle,trammel
confined	captive,jailed
confining	limiting
confirm	affirm,corroborate,substantiate,support,sustain
conflate	fuse,immix,mix
conflict	battle,dispute,engagement,struggle
conformation	shape
conformity	accordance
confound	confuse
confounded	bewildered,confused,mazed
confront	face
confuse	confound
confused	baffled,befuddled,bemused,bewildered,confounded,garbled,lost,mazed,mixed-up
confusing	puzzling
conge	congee
congeal	jell,set
congealed	jelled
congee	conge
congenital	innate
conger	conger-eel
conger-eel	conger
congest	clog
conglomerate	amass
congo	belgian-congo,zaire
congratulations	kudos
congregation	faithful,fold
congress	coitus,u,united-states-congress,us-congress
conic	cone-shaped,conelike,conical
conical	conic
conjecture	speculate
conjoin	marry,wed
conjugal	connubial
conjugate	conjugate-solution,conjugated
conjugate-solution	conjugate
conjugated	conjugate
conjugation	mating
conjunct	cooperative
conjunctive	cooperative
conjure	beseech,conspire,invoke
conjure-up	invoke
conjurer	magician
conjuror	magician
conk	swoon
connate	cognate
connatural	inborn,inbred
connect	associate,link,link-up,relate,tie
connected	affiliated,attached
connectedness	connection
connection	connectedness,connexion
connexion	connection
connote	imply
connubial	conjugal
conquer	curb,inhibit,stamp-down,subdue,suppress
conquering	conquest
conquest	conquering,subjection,subjugation
conrad-aiken	aiken
conrad-potter-aiken	aiken
consanguine	kin
consanguineal	kin
consanguineous	kin
conscience	moral-sense,scruples
conscious	witting
consciousness	awareness
consecrate	commit,dedicate,devote
consecutive	serial,successive
consentaneous	unanimous
consentient	unanimous
consequence	effect,event,issue,outcome,result,upshot
consequent	accompanying,attendant,concomitant,ensuant,incidental,resultant,sequent
consequently	accordingly
conservatism	conservativism
conservativism	conservatism
conserve	economize
consider	reckon,regard,see,view
considerably	substantially,well
consignment	cargo,freight,lading
consist	comprise,dwell,lie,lie-in
consistent	coherent
consistently	systematically
consolation	solace
consolidated	fused
consort	accord,affiliate,associate,assort
conspicuously	prominently
conspiracy	cabal
conspire	cabal,complot,conjure,machinate
constabulary	police
constant	changeless,invariant,unvarying
constantly	invariably
constellate	stud
consternation	alarm
constituent	component,element,part,portion
constitute	appoint,be,comprise,institute,make-up,represent
constituted	established
constitution	establishment
constitutional	inherent,integral
constraining	limiting
constrictive	limiting
construct	build,concept,conception,make
construction	building,structure
construe	interpret,see
consult	confer,confer-with
consume	have,ingest,take,take-in
consummate	arrant
consumption	intake,uptake
contact	liaison
contain	comprise,incorporate
contamination	taint
contemn	despise
contemplate	meditate,mull,muse,ponder
contemplation	musing,reflection
contemplative	brooding,broody,pensive
contemporaneity	modernity
contemporaneous	coeval
contemporaneousness	modernity
contemporaries	generation
contemporary	modern-day
contempt	despite,disdain,scorn
contemptuous	scornful
contend	compete,cope,fight,grapple,postulate,vie
contender	competitor
content	contented
contented	content
contention	controversy
contest	competition
contestation	controversy
context	context-of-use,linguistic-context
context-of-use	context
contiguous	immediate
continental-quilt	duvet
continuance	duration
continuation	sequel
continue	go-along,go-on,keep,preserve,proceed,retain,uphold
continuity	persistence
continuity-army-council	cira
continuous	uninterrupted
contopus-virens	peewee,peewit,pewee,pewit
contorted	writhed
contour	contour-line,shape
contour-line	contour
contrabandist	runner
contradict	belie,negate
contraption	gadget,gismo,gizmo,widget
contrary	wayward
contrast	direct-contrast
contribute	add,bestow,bring,impart,lend
contribution	part,share
contrite	rueful
contritely	ruefully
contrivance	gadget,gismo,gizmo,widget
contrive	cast,design,devise,forge,invent
contrived	hokey,stilted
contriver	planner
control	command,insure,mastery
controversy	arguing,argument,contention,contestation,disceptation,disputation,tilt
contuse	bruise
convenience	gadget,gismo,gizmo,widget
conveniences	comforts
convention	formula,normal,pattern,rule
conventional	schematic
conventual	monastic
converse	discourse
conversion	changeover,transition
convert	change-over,convince
converted	reborn
convex	bulging
convey	fetch,transmit
conveyance	transfer
conviction	article-of-faith,strong-belief
convince	convert,win-over
convoluted	tortuous
convolution	gyrus
convulse	thresh
convulsion	turmoil
cony	coney,das,dassie,hyrax,pika,rabbit
cooccur	coincide
cook	fix,make,prepare,ready
cooke	jay-cooke
cookery	cooking
cookhouse	galley
cookie	biscuit,cooky
cooking	cookery,preparation
cooking-pan	pan
cooking-stove	stove
cooky	biscuit,cookie
cool	aplomb
cooler	ice-chest
coolie	cooly
cooling	chilling,temperature-reduction
coolly	nervelessly,nonchalantly
cooly	coolie
coon	nigga,nigger,nigra
coon-cat	coati
coop	cage,chicken-coop,hencoop,henhouse
cooperate	collaborate,get-together,join-forces
cooperative	concerted,conjunct,conjunctive
cooperator	pardner
coordinate	organise,organize
coosa	coosa-river
coosa-river	coosa
cooter	pseudemys-concinna,river-cooter
cootie	body-louse,pediculus-corporis
cop	arrest,bull,copper,fuzz,glom,nab,pig
cope	contend,coping,deal,get-by,grapple,make-do,make-out,manage
copeck	kopek
copier	duplicator
coping	cope,header
copper	cop,cu
coppice	brush,copse,thicket
copse	brush,brushwood,coppice,thicket
copula	copulative,linking-verb
copulate	mate
copulation	coitus
copulative	copula
copulatory	coital
copy	imitate,simulate,transcript
copycat	aper
coquet	flirt
coquetry	toying
coquette	flirt,minx
cora	despoina,kore,persephone
coracan	ragee,ragi
corakan	ragee,ragi
corbel	truss
corded	twilled
cordia-alliodora	cypre
cordial	affable,amiable,genial
cordiality	amity
cordially	warmly
cords	corduroys
corduroys	cords
core	core-group,essence,gist,kernel,nub,nucleus
core-group	core
coregonus-artedi	cisco
coreid	coreid-bug
coreid-bug	coreid
corgi	welsh-corgi
corium	derma,dermis
corixa	genus-corixa
cork	bobber
corked	corky
corking	bully,dandy,nifty
corky	corked
corn	indian-corn,maize,zea-mays
corned	cured
corneous	horny
corner	nook,quoin
cornered	trapped,treed
cornet	horn,trump,trumpet
cornhusker-state	ne
cornice	pelmet
cornpone	pone
cornucopia	richness
corny	bromidic,platitudinal,platitudinous
corona	aureole
coronach	dirge
coronal	lei,wreath
coronary-bypass	cabg
coronary-bypass-surgery	cabg
coroner	medical-examiner
coroneted	titled
corp	corporation
corporal	somatic
corporate	collective
corporation	corp
corporeal	somatic
corps	army-corps
corpse	cadaver,clay,remains,stiff
corpulent	obese,rotund
corpuscle	mote,particle
corral	cattle-pen,cow-pen
correct	adjust,compensate,rectify,right
correctly	aright,right
corregidor	bataan
correlation	correlativity
correlativity	correlation
correspond	agree,check,fit,gibe,jibe,match,represent,tally
correspondence	symmetry
correspondent	analogous
corrie	cwm
corroborate	affirm,confirm
corrode	rust
corruptible	venal
corruption	depravity
corsage	bouquet,nosegay,posy
corse	corsica
corset	girdle,stays
corsica	corse
cortex	cerebral-cortex,cerebral-mantle,pallium
corticotrophin	acth
corticotropin	acth
coruscant	fulgid,glinting,glittering
corvus	genus-corvus
corvus-corax	raven
corvus-frugilegus	rook
corvus-monedula	daw,jackdaw
corydalus-cornutus	dobson
cos	cos-lettuce,romaine,romaine-lettuce
cos-lettuce	cos
cosec	cosecant
cosecant	cosec
cosh	blackjack,sap
cosher	kosher
cosily	cozily
cosmopolitan	universal
cosmos	creation,existence,macrocosm,universe,world
coss	kos
cosset	coddle,pamper
cost	price,toll
costa	rib
costia	costia-necatrix
costia-necatrix	costia
costless	gratis
costly	dear,high-priced,pricey,pricy
cosy	cozy,snug
cot	camp-bed,crib
cot-death	sids
cotan	cotangent
cotangent	cotan
coterie	clique
cottage	bungalow
cottar	cotter
cotter	cottar
cotton	cotton-fiber,cotton-wool
cotton-fiber	cotton
cotton-wool	cotton
cottus	genus-cottus
couch	lounge,sofa
coue	emile-coue
cougar	catamount,felis-concolor,mountain-lion,painter,panther,puma
coulter	colter
counsel	advise,advocate,counseling,counsellor,counselor,counselor-at-law,guidance,pleader,rede
counseling	counsel,counselling,direction,guidance
counselling	counseling,guidance
counsellor	counsel
counselor	counsel
counselor-at-law	counsel
count	counting,enumerate,number,numerate
countenance	kisser,permit,phiz,smiler,visage
counteract	undermine
counterbalance	compensate
countermand	annul,repeal,rescind
countermine	undermine
counterpart	opposite-number,vis-a-vis
counterterrorist-center	ctc
countervail	offset
counting	count,enumeration,numeration,reckoning,tally
countless	infinite,innumerable,innumerous,multitudinous,myriad,numberless,uncounted,unnumberable
country	area,body-politic,commonwealth,land,nation,res-publica,state
coup	putsch
coup-d'etat	putsch
coup-d'oeil	glimpse
couple	duad,duet,duo,dyad,mate,mates,twain,twosome
coupled	linked
couplet	duad,dyad,twain
coupling	mating,yoke
courage	braveness,bravery,courageousness
courageous	brave
courageously	bravely
courageousness	bravery,courage
courier	messenger
course	class,course-of-instruction,course-of-study,grade,naturally,of-course,track
course-of-instruction	course
course-of-study	course,curriculum
courser	charger
court	homage,judicature,tribunal,woo
courteously	politely
courtesan	doxy
cousin	cousin-german,first-cousin,full-cousin
cousin-german	cousin
couthie	couthy
couthy	couthie
cover	blanket,cross,deal,embrace,encompass,masking,shroud,traverse
covering	masking
coveted	desired
covetous	envious,grabby,greedy,jealous
covetously	greedily
covetousness	avarice
cow	moo-cow
cow-barn	byre
cow-pen	corral
cowardly	fearful
cowbarn	byre
cowboy	cattleman,cowhand,cowherd,cowman,cowpoke,cowpuncher,puncher
cower	grovel,huddle
cowhand	cowboy,puncher
cowherd	cowboy,puncher
cowhouse	byre
cowl	cowling
cowling	bonnet,cowl,hood
cowman	cowboy,puncher
cowpoke	cowboy,puncher
cowpuncher	cowboy,puncher
cowrie	cowry
cowry	cowrie
cows	bos-taurus,cattle,kine,oxen
cowshed	byre
cox	coxswain
coxa	articulatio-coxae,hip,hip-joint
coxswain	cox
coy	demure
coyness	demureness
coyol	acrocomia-vinifera,coyol-palm
coyol-palm	coyol
coyote	brush-wolf,canis-latrans,prairie-wolf
coyote-state	sd
coypu	myocastor-coypus,nutria
cozen	deceive,delude
cozenage	scam
cozily	cosily
cozy	cosy,snug
cpr	cardiac-resuscitation,kiss-of-life
cps	cycle,cycle-per-second,hertz,hz
cpu	c,central-processing-unit,central-processor,mainframe,processor
cr	chromium
crabbed	crabby,fussy,grumpy
crabby	bad-tempered,crabbed,cross,fussy,grouchy,grumpy,ill-tempered
crabs	pediculosis-pubis
crack	break,check,sally,super,tiptop,tops
crack-shot	marksman
crackbrained	idiotic
cracked	barmy,bats,batty,chapped,daft,fruity,kookie,kooky,loco,loony,loopy,nuts
cracker	banger
cracker-barrel	folksy
crackerjack	jimdandy
crackers	barmy,bats,batty,daft,fruity,kookie,kooky,loco,loony,loopy,nuts,nutty
cracking	bully,dandy,nifty
crackle	crackling,crepitation
crackling	crackle
craft	trade
craftily	foxily,slyly
crafty	cunning,dodgy,foxy,guileful,knavish,slick,sly,tricksy,tricky,wily
cragged	craggy,hilly
craggy	cragged,hilly,mountainous
cram	chock-up,jam,jampack,ram,wad
cramp	hamper,muscle-spasm,spasm
cranch	grind
crane	stretch-out
crank	churl,cranky,grump,meth,shabu,tender,tippy,trash,zigzag
cranky	crank,peevish,techy,tender,testy,tetchy,tippy
crap	bull,bullshit,dogshit,horseshit,irish-bull,shit,shite,turd
crape	crepe
crappy	icky,lousy,rotten,shitty,stinking,stinky
crash	clang,clangor,clangoring,clangour,clank,clash,doss
crashing	bally
craunch	grind
crave	hunger,lust,starve,thirst
craved	desired
craven	recreant
craw	crop
crawl	creep,grovel
crawler	toady
crax	genus-crax
crayon	wax-crayon
craze	cult,fad,frenzy,furor,furore,rage
crazed	deranged,half-crazed
crazily	dementedly,insanely,madly
craziness	lunacy
crazy	brainsick,demented,disturbed,dotty,gaga,mad,sick,unbalanced,unhinged
crazy-house	bedlam
creak	screak,screech,skreak,squeak,whine
creaky	arthritic,rheumatic,rheumatoid,rheumy
cream	drub,lick,pick
cream-puff	chou
crease	creese,crinkle,crisp,kris,ruckle,scrunch,scrunch-up,wrinkle
create	make
creation	cosmos,creative-activity,founding,universe,world
creative	originative
creative-activity	creation
creative-person	artist
creator	almighty,divine,god-almighty,godhead,jehovah,lord,maker
creature	animal,animate-being,beast,brute,fauna
creature-comforts	comforts
creche	foundling-hospital
crecy	battle-of-crecy
cred	street-cred,street-credibility
credal	creedal
credence	acceptance
credit	recognition
credo	creed
creed	credo
creedal	credal
creek	brook
creep	crawl,grovel,sneak
creepy	creepy-crawly
creepy-crawly	creepy
creese	crease,kris
crenel	crenelle
crenelle	crenel
crepe	crape
crepitation	crackle
crepuscle	dusk,gloam,nightfall
crepuscule	dusk,gloam,nightfall
crescent	lunate
crescent-shaped	lunate
crested	plumed,tufted
crete	kriti
cretin	idiot
crewet	cruet
crewman	sailor
crex	genus-crex
crib	cot
crib-death	sids
crick	francis-crick,wrick
crime	criminal-offence,criminal-offense,law-breaking,offence,offense
criminal	crook,felon,malefactor,outlaw
criminal-offence	crime
criminal-offense	crime
criminalise	outlaw
criminalize	outlaw
criminate	accuse
crimper	curler
crimson	blood-red,blush,carmine,cerise,cherry,cherry-red,flush,flushed,red,redden,reddish,ruddy
cringe	flinch,funk,grovel,quail,recoil,shrink,squinch,wince
cringing	wormy
cringle	eyelet,loop
crinkle	crease,wrinkle
cripple	stultify
crippled	gimpy,lame
crisp	crease,crispy,curt,frizzy,frosty,nappy,nippy,sharp,terse
crispy	crisp
cristal	xtc
critical	vital
criticise	criticize
criticism	unfavorable-judgment
criticize	criticise,knock,pick-apart
cro	oscilloscope,scope
croak	decease,die,exit,expire,go,pass,pass-away,perish
croaky	guttural
croat	croatian
croatian	croat
crock	earthenware-jar,soot
crocked	besotted,blind-drunk,blotto,cockeyed,fuddled,loaded,pie-eyed,pissed,soaked,soused
crohn	burrill-bernard-crohn
cromlech	dolmen
crone	beldam,beldame,hag,witch
cronk	honk
crony	brother,buddy,chum,pal,sidekick
crook	criminal,felon,malefactor,outlaw
crookback	humped
crookbacked	humped
crooked	stooped
crop	craw,graze,harvest,lop
crop-dusting	spraying
cross	cover,crabby,cut-across,cut-through,frustrate,fussy,get-across,get-over,grumpy,intersect,pass-over,span
crossbeam	trave
crosspatch	churl,grump
crosspiece	trave
crossroads	hamlet
crosstalk	xt
crotch	genital-organ,genitalia,genitals,private-parts,privates
crotchet	quirk
crotchety	ornery
crouch	bend,bow,squat,stoop
croup	croupe,hindquarters,rump
croupe	croup,hindquarters,rump
crow	gloat
crowing	braggy
crown	diadem,pate,pennant,top,treetop
crowned-head	monarch,sovereign
crp	c-reactive-protein
crt	cathode-ray-tube
crucial	important
crucifix	rood
cruddy	filthy,foul,nasty,smutty
crude	earthy,primitive,rough,stark
crudeness	crudity
crudity	crudeness,gaucheness
cruel	barbarous,brutal,fell,roughshod,savage,vicious
cruelty	inhuman-treatment
cruet	crewet
crumb	bum,puke,skunk
crumble	break-down,collapse,crumple,tumble
crumbly	friable
crummy	bum,cheap,cheesy,chintzy,punk,sleazy,tinny
crumple	crumble,pucker
crumpled	dented
crunch	grind
crusade	campaign,cause,drive,effort,movement
crush	beat,mash,oppress,squash,squeeze,suppress
crushed-rock	gravel
crushing	devastating
crust	earth's-crust,gall,insolence
crusted	crustlike,crusty,encrusted
crustlike	crusted
crusty	crusted,curmudgeonly,gruff,ill-humored,ill-humoured
crux	crux-of-the-matter
crux-of-the-matter	crux
cry	call,exclaim,holler,hollo,outcry,scream,shout,shout-out,squall,weep,yell
cry-baby-tree	ceibo
cry-out	exclaim
crybaby-tree	ceibo
crying	egregious,flagrant,glaring,gross,rank,tears
cryptic	cryptical,deep,inscrutable,mysterious,mystifying
cryptical	cryptic,mysterious
cryptography	coding
cryptomeria-japonica	sugi
cryptoprocta-ferox	fossa
crystal	quartz
crystal-clear	limpid,lucid,transparent
crystal-rectifier	diode
crystalised	glace
crystalized	glace
crystalline	transparent
cs	caesium,cesium
cst	central-standard-time,central-time
ct	cat,computed-tomography,computerized-tomography
ctc	counterterrorist-center
ctene	comb-plate
cu	copper
cub	rookie,sonny,young-carnivore
cuba	republic-of-cuba
cuban-bast	mahoe
cuban-sandwich	hoagy,zep
cubby	cubbyhole,snug,snuggery
cubbyhole	cubby
cube	regular-hexahedron
cube-shaped	cuboid
cubeb	cubeb-cigarette
cubeb-cigarette	cubeb
cubelike	cuboid
cubic	three-dimensional
cubic-centimeter	cc,ml
cubic-centimetre	cc,ml
cubic-decimeter	liter,litre
cubic-decimetre	liter,litre
cubical	cuboid
cubicle	booth,carrel,kiosk
cubiform	cuboid
cubist	cubistic
cubistic	cubist
cubital-joint	elbow
cubitus	elbow
cuboid	cube-shaped,cubelike,cubical,cubiform,cuboidal
cuboidal	cuboid
cuckoo	jackass
cuckoo's-nest	bedlam
cucumber	cuke
cud	chaw,quid,rechewed-food
cuddle	draw-close,nest,nestle,nuzzle,snuggle
cuddlesome	cuddly
cuddling	hugging,kissing,petting
cuddly	cuddlesome
cue	clew,cue-stick,pool-cue,pool-stick
cue-stick	cue
cuff	turnup
cuke	cucumber
cul	cul-de-sac,dead-end
cul-de-sac	cul
culex	genus-culex
cull	reject
culminate	climax
culmination	apogee,climax
cult	craze,cultus,fad,furor
cultivable	arable
cultivatable	arable
cultivated	cultured
cultivator	grower,tiller
cultural	ethnic
culture	civilisation,civilization
cultured	civilised,civilized,cultivated,genteel,polite
cultus	cult,religious-cult
cum	come,ejaculate,seed,semen,seminal-fluid
cumbersome	inapt
cumin	cumin-seed
cumin-seed	cumin
cumulate	amass
cumulation	heap,pile
cumulative	accumulative
cumulus	heap,pile
cunaxa	battle-of-cunaxa
cuneal	cuneiform,wedge-shaped
cuneiform	cuneal
cuneus	wedge
cuniculus-paca	paca
cunner	bergall,tautogolabrus-adspersus
cunning	crafty,dodgy,foxy,sly,tricky,wily
cunningly	cutely,foxily,slyly
cunt	puss,pussy,slit,snatch,twat
cuon	cyon,genus-cuon,genus-cyon
cuon-alpinus	dhole
cupboard	closet
cupel	bone-ash-cup,refractory-pot
cupid	amor
cupid's-disease	vd
cupid's-itch	vd
cuppa	cupper
cupper	cuppa
cupric	cuprous
cuprous	cupric
cur	mongrel,mutt
curate	minister,parson,pastor
curative	healing,therapeutic
curb	amex,conquer,curbing,curtail,inhibit,kerb,restrict,subdue,suppress
curbing	curb,kerb
cure	bring-around,heal
cured	aged,corned,healed
curet	curette
curette	curet
curie	madame-curie,marie-curie,marya-sklodowska
curio	curiosity,oddity,oddment,peculiarity,rarity
curiosity	curio,oddity,rarity,wonder
curious	funny,odd,peculiar,queer,rum,rummy,singular
curiously	oddly,peculiarly
curl	curve,gyre,kink,whorl
curled	curling
curler	crimper,hair-curler,roller
curlicue	gyre,whorl
curling	curled
curmudgeonly	crusty
current-of-air	wind
currently	presently
curriculum	course-of-study,program,programme,syllabus
curse	bane,bedamn,blaspheme,cuss,hex,imprecate,jinx,oath,swear
curse-word	oath
cursed	curst
cursor	pointer
cursory	casual,passing,perfunctory
curst	cursed
curt	brusk,crisp,laconic,terse
curtail	curb,cut-back,restrict
curtain	drape,drapery,mantle,pall
curtly	short,shortly
curvaceous	bosomy,busty,curvy,sonsie,sonsy
curve	arch,bender,curl,curved-shape,swerve,veer
curve-ball	bender
curved	curving
curved-shape	curve
curvet	vaulting
curvey	curvy
curving	curved
curvy	bosomy,busty,buxom,curvaceous,curvey,full-bosomed,sonsie,sonsy,stacked
cusco	cuzco
cushat	columba-palumbus,ringdove,wood-pigeon
cushion	buffer,soften
cushioned	padded
cushiony	padded
cushy	easygoing,soft
cusk	burbot,eelpout,ling,lota-lota,torsk
cusp	leaflet
cuspate	cusped
cuspated	cusped
cusped	cuspate,cuspated,cuspidal,cuspidate,cuspidated
cuspid	canine,canine-tooth,dogtooth,eye-tooth,eyetooth
cuspidal	cusped
cuspidate	cusped
cuspidated	cusped
cuss	blighter,bloke,chap,curse,fella,feller,fellow,gadfly,gent,lad,oath,swear
cussed	obdurate,obstinate,unrepentant
cussedly	stubbornly
custody	hands
custom	usage,usance
customary	accustomed,habitual,wonted
customer	client
customs-bureau	uscb
customs-service	uscb
cut	dilute,geld,gelded,ignore,mown,reduce,snub,swerve,veer
cut-across	cross,traverse
cut-back	curtail,lop,reduce,restrict
cut-down	fell,mow,reduce,slash
cut-into	delve,dig
cut-off	disrupt,interrupt,knap
cut-through	cross,traverse
cutaneal	dermal
cutaneous	dermal
cutch	kutch
cute	precious
cutely	cunningly
cutis	skin,tegument
cutlas	cutlass
cutlass	cutlas
cutlery	cutter
cutter	cutlery,cutting-tool
cutting	film-editing
cutting-out	ablation
cutting-tool	cutter
cuttle	cuttlefish
cuttlefish	cuttle
cuzco	cusco
