# word	role	pos	gloss	definition
# Pointed language depth — POS + short meaning (not word salad)
tut	verb	verb	utter	utter `tsk,' `tut,' or `tut-tut,' as in disapproval
vex	verb	verb	cause	cause annoyance in; disturb, especially by minor irritations
vie	verb	verb	compete	compete for something; engage in a contest; measure oneself against others
vow	verb	verb	make-vow	make a vow; promise
wad	verb	verb	compress	compress into a wad
wag	verb	verb	move-side	move from side to side
wed	verb	verb	take-marriage	take in marriage
win	verb	verb	winner	be the winner in a contest or competition; be victorious
woo	verb	verb	seek-someone	seek someone's favor
yap	verb	verb	bark-high-pitched	bark in a high-pitched tone
zip	verb	verb	close	close with a zipper
abet	verb	verb	assist	assist or encourage, usually in some wrongdoing
abut	verb	verb	lie-adjacent	lie adjacent to another or share a boundary
abye	verb	verb	make-amends	make amends for
aaa	what	noun	aneurysm	an aneurysm of the abdominal aorta associated with old age and hypertension
aar	what	noun	river	a river in north central Switzerland that runs northeast into the Rhine
aas	what	noun	associate	an associate degree in applied science
aba	what	noun	fabric	a fabric woven from goat hair and camel hair
abb	what	noun	urban	an urban hit squad and guerrilla group of the Communist Party in the Philippines; formed in the 1980s
abc	what	noun	elementary	the elementary stages of any subject (usually plural)
abm	what	noun	defensive	a defensive missile designed to shoot down incoming intercontinental ballistic missiles
abs	what	noun	class	any of a class of composite plastics used to make car bodies and cases for computers and other appliances
acc	what	noun	command	a command that is the primary provider of air combat weapon systems to the United States Air Force; operates fighter, bo
ace	what	noun	smallest	the smallest whole number or a numeral representing this number
act	what	noun	legal	a legal document codifying the result of deliberations of a committee or society or legislative body
ada	what	noun	enzyme	an enzyme found in mammals that can catalyze the deamination of adenosine into inosine and ammonia
ade	what	noun	sweetened	a sweetened beverage of diluted fruit juice
adh	what	noun	hormone	hormone secreted by the posterior pituitary gland (trade name Pitressin) and also by nerve endings in the hypothalamus; 
ado	what	noun	rapid	a rapid active commotion
adp	what	noun	data-processing	data processing by a computer
adz	what	noun	edge-tool	an edge tool used to cut and shape wood
aec	what	noun	former	a former executive agency (from 1946 to 1974) that was responsible for research into atomic energy and its peacetime use
afl	what	noun	federation	a federation of North American labor unions that merged with the Congress of Industrial Organizations in 1955
afp	what	noun	abnormally	an abnormally large amount of this fetoprotein in the fetus can signal an abnormality of the neural tube (as spina bifid
aga	what	noun	title	title for a civil or military leader (especially in Turkey)
age	what	noun	how-long	how long something has existed
ail	what	noun	aromatic	aromatic bulb used as seasoning
aim	what	noun	anticipated	an anticipated outcome that is intended or that guides your planned actions
air	what	noun	mixture	a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of
aix	what	noun	wood-duck	wood duck and mandarin duck
aku	what	noun	kwa-language	a Kwa language spoken by the Yoruba in southwestern Nigeria
